timestamp,signal,confidence,buy_probability,sell_probability,no_trade_probability,trade_recommended
2025-07-17 02:37:01.060,SELL,1.0,4.749152021445108e-19,1.0,3.264307214665452e-24,True
2025-07-17 02:37:03.366,SELL,1.0,3.4565615976603577e-19,1.0,1.8065628648680395e-24,True
2025-07-17 02:37:41.138,SELL,1.0,2.656330787958249e-19,1.0,1.2299356184734915e-24,True
2025-07-17 02:38:02.387,SELL,1.0,2.512834597219847e-19,1.0,1.1997633651782114e-24,True
2025-07-17 02:38:36.594,SELL,1.0,2.306408056442059e-19,1.0,1.0214432310976515e-24,True
2025-07-17 02:39:00.516,SELL,1.0,1.8778522434268709e-19,1.0,7.234667520647122e-25,True
2025-07-17 02:39:02.931,SELL,1.0,2.5409812270195536e-19,1.0,1.3603192391417124e-24,True
2025-07-17 02:39:08.758,SELL,1.0,2.8027562320408547e-19,1.0,1.6014297430494701e-24,True
2025-07-17 02:39:16.079,SELL,1.0,2.934306642264284e-19,1.0,1.730482358155357e-24,True
2025-07-17 02:39:35.038,SELL,1.0,2.4928039016989925e-19,1.0,1.3461440989281828e-24,True
2025-07-17 02:40:08.199,SELL,1.0,2.995504048920371e-19,1.0,1.816160541071411e-24,True
2025-07-17 02:40:13.626,SELL,1.0,3.0042124513129646e-19,1.0,1.7192373431666577e-24,True
2025-07-17 02:40:19.936,SELL,1.0,2.0852800604867601e-19,1.0,9.079949749503285e-25,True
2025-07-17 02:40:38.754,SELL,1.0,1.9949487064217017e-19,1.0,9.835047407980837e-25,True
2025-07-17 02:40:43.389,SELL,1.0,1.7157366048408122e-19,1.0,7.363834619191879e-25,True
2025-07-17 02:41:05.675,SELL,1.0,1.2522131531466227e-19,1.0,4.314961176222532e-25,True
2025-07-17 02:41:34.067,SELL,1.0,1.4649183825146003e-19,1.0,5.941230965886054e-25,True
2025-07-17 02:41:59.377,SELL,1.0,1.3043626256180576e-19,1.0,4.9892000988768655e-25,True
2025-07-17 02:42:21.420,SELL,1.0,1.1791219232577886e-19,1.0,4.3712404853532625e-25,True
2025-07-17 02:42:34.091,SELL,1.0,9.380396813648112e-20,1.0,2.8870428190868146e-25,True
2025-07-17 02:42:48.049,SELL,1.0,9.026994236692488e-20,1.0,2.869453439571682e-25,True
2025-07-17 02:42:51.432,SELL,1.0,7.072002619007131e-20,1.0,1.9331740294279771e-25,True
2025-07-17 02:43:29.136,SELL,1.0,7.677406415811889e-20,1.0,2.3438028779105814e-25,True
2025-07-17 02:43:47.834,SELL,1.0,7.295267713623143e-20,1.0,2.1175464769367156e-25,True
2025-07-17 02:44:02.645,SELL,1.0,7.48518321238649e-20,1.0,2.2328409634250952e-25,True
2025-07-17 02:44:16.275,SELL,1.0,6.29090566009611e-20,1.0,1.7091337113002e-25,True
2025-07-17 02:44:23.413,SELL,1.0,1.00305439730086e-19,1.0,3.9000568248931467e-25,True
2025-07-17 02:44:44.716,SELL,1.0,8.766301158063012e-20,1.0,3.01475372970434e-25,True
2025-07-17 02:44:53.002,SELL,1.0,6.435890388196196e-20,1.0,1.8443942672997236e-25,True
2025-07-17 02:45:01.037,SELL,1.0,5.013500333653273e-20,1.0,1.2796328447743804e-25,True
2025-07-17 02:45:26.952,SELL,1.0,4.3007081369412454e-20,1.0,1.1059733748775762e-25,True
2025-07-17 02:45:33.129,SELL,1.0,3.6742567940735614e-20,1.0,8.628259211789729e-26,True
2025-07-17 02:45:40.961,SELL,1.0,2.6160048929909794e-20,1.0,5.342305949707852e-26,True
2025-07-17 02:46:08.198,SELL,1.0,1.9560411030875337e-20,1.0,3.63130085079929e-26,True
2025-07-17 02:46:09.800,SELL,1.0,2.3244251810944576e-20,1.0,5.485522414455563e-26,True
2025-07-17 02:46:27.200,SELL,1.0,2.1456701582520412e-20,1.0,4.550468943462378e-26,True
2025-07-17 02:47:04.504,SELL,1.0,1.7101618275648596e-20,1.0,3.2998353651210204e-26,True
2025-07-17 02:47:12.274,SELL,1.0,1.4130656933996614e-20,1.0,2.626105319380313e-26,True
2025-07-17 02:47:51.771,SELL,1.0,1.487237621834099e-20,1.0,3.04978895302771e-26,True
2025-07-17 02:48:03.855,SELL,1.0,1.827917611669032e-20,1.0,4.3109279399553154e-26,True
2025-07-17 02:48:05.350,SELL,1.0,1.304451547533907e-20,1.0,2.5228431187380916e-26,True
2025-07-17 02:48:24.088,SELL,1.0,1.3012310361412055e-20,1.0,2.748263820190489e-26,True
2025-07-17 02:49:02.419,SELL,1.0,1.3210015413541465e-20,1.0,2.96648493328758e-26,True
2025-07-17 02:49:22.434,SELL,1.0,1.5605334173658265e-20,1.0,3.821631108664952e-26,True
2025-07-17 02:50:04.389,SELL,1.0,1.5169120800745853e-20,1.0,3.600348845477054e-26,True
2025-07-17 02:50:26.535,SELL,1.0,1.5016436507483062e-20,1.0,3.669357226500382e-26,True
2025-07-17 02:50:44.906,SELL,1.0,1.5227563049727285e-20,1.0,3.7403873717421296e-26,True
2025-07-17 02:50:56.567,SELL,1.0,2.330791563754275e-20,1.0,7.027983375029371e-26,True
2025-07-17 02:51:05.136,SELL,1.0,2.8885486263649844e-20,1.0,9.833991813482038e-26,True
2025-07-17 02:51:32.729,SELL,1.0,2.852065760824848e-20,1.0,9.347932701539783e-26,True
2025-07-17 02:51:53.385,SELL,1.0,2.8826924461220504e-20,1.0,9.08223140641212e-26,True
2025-07-17 02:52:02.494,SELL,1.0,2.3678484474030836e-20,1.0,5.911814835768429e-26,True
2025-07-17 02:52:22.250,SELL,1.0,2.613361792439931e-20,1.0,7.478966526378073e-26,True
2025-07-17 02:53:03.172,SELL,1.0,2.940277464570239e-20,1.0,9.595382960068059e-26,True
2025-07-17 02:53:28.181,SELL,1.0,3.223429143065383e-20,1.0,1.050346971405433e-25,True
2025-07-17 02:53:56.773,SELL,1.0,3.348730526878401e-20,1.0,1.0323011619009201e-25,True
2025-07-17 02:54:02.715,SELL,1.0,3.553666785460401e-20,1.0,1.1499820758871098e-25,True
2025-07-17 02:54:44.588,SELL,1.0,3.9516585979591816e-20,1.0,1.4431711059976826e-25,True
2025-07-17 02:54:57.087,SELL,1.0,3.484626931115487e-20,1.0,1.0776328073004127e-25,True
